state,value
0,0.0
1,0.0
2,-13.284698712744763
3,-15.633620002786659
4,-13.374100325494956
5,-15.545492701681766
6,-14.89641688928523
7,-15.595178260738344
8,-13.467296809067362
9,-15.589388575097509
10,-15.03910523975296
11,-15.514996818459057
12,-14.151872922436855
13,-15.47253428246634
14,-14.839876795368168
15,-15.617470291232788
16,-13.847581667162489
17,-15.633051958657827
18,-14.692002548055669
19,-15.088715931579449
20,-14.759972473058921
21,-15.161778622873081
22,-14.627658057204115
23,-15.007516754328293
24,-14.525759970600676
25,-15.297135437289938
26,-14.88751382954903
27,-15.264377772854035
28,-14.803347900433081
29,-15.69373857411119
30,-14.944253091767655
31,-15.590009710188523
32,-14.20757289486761
33,-15.660158386002973
34,-15.030291102773557
35,-15.337274301166715
36,-14.506256704879737
37,-15.899409905961098
38,-14.908019533204737
39,-15.654033970105903
40,-14.699675405686143
41,-15.837227297215083
42,-15.596917142172428
43,-15.710340199603754
44,-15.861066366823872
45,-16.045461098027598
46,-15.827558258677833
47,-16.038914149809482
48,-15.784096292204548
49,-16.118176328313204
50,-15.975303738876766
51,-16.129565882239348
52,-16.204232720154188
53,-16.229184978013986
54,-16.253271340519788
55,-16.335120364884332
56,-16.271733805206757
57,-16.49621997022558
58,-16.458918909000836
59,-16.40093029107006
60,-16.619481023716766
61,-16.824780334144677
62,-16.906442523398777
63,-17.045143731237687
64,-16.9318833537655
65,-17.0691318153856
66,-17.120106979158862
67,-17.173660155164598
68,-17.22835484013094
69,-17.321392334024644
70,-17.339714806922103
71,-17.506665535043716
72,-17.497331411885444
73,-17.562062677630987
74,-17.671332750880072
75,-17.676606494586796
76,-17.768563978871065
77,-17.839286602156523
78,-17.87822147612109
79,-17.97868886449592
80,-18.02456648164272
81,-18.152000481368226
82,-18.193729898150057
83,-18.254161559891212
84,-18.31897468389141
85,-18.395955308400126
86,-18.454030588283615
87,-18.52212479322025
88,-18.586904001093394
89,-18.612275685944073
90,-18.75520305275281
91,-18.780838398318622
92,-18.861493764461912
93,-18.909101111458295
94,-19.00416881202938
95,-19.038655811182437
96,-19.11733407468832
97,-19.156061792969894
98,-19.2686441611852
99,-19.319554527768066
100,-19.399790426304687
101,-19.47813723226152
102,-19.536701948413967
103,-19.59467695177911
104,-19.663278534557737
105,-19.722952071630566
106,-19.79978453520029
107,-19.85847824796144
108,-19.917490090385467
109,-20.01254195338547
110,-20.05798780969972
111,-20.129363645669713
112,-20.189460329743095
113,-20.259767280817865
114,-20.321845764370135
115,-20.385875657248278
116,-20.44389032966467
117,-20.529656782964157
118,-20.596374459409176
119,-20.667640203756577
120,-20.744297316554594
121,-20.798173059034227
122,-20.866203364605866
123,-20.930693005889374
124,-20.996905439913757
125,-21.068647161711695
126,-21.133602416203082
127,-21.198236894653533
128,-21.277045480472236
129,-21.332524644034436
130,-21.40054554852676
131,-21.46712043107004
132,-21.532155413155404
133,-21.598527781690738
134,-21.664451451481828
135,-21.72960520002809
136,-21.80264919754091
137,-21.86744857300107
138,-21.939464879788748
139,-22.00879135673735
140,-22.07014652001333
141,-22.1382989736046
142,-22.20431276166105
143,-22.271044788592434
144,-22.34007532342127
145,-22.406881031601134
146,-22.471942958905018
147,-22.54561924469721
148,-22.606414039934744
149,-22.674371013541467
150,-22.740548695882573
151,-22.807712076030278
152,-22.87339522880068
153,-22.93973206612072
154,-23.006817473072402
155,-23.076491229485452
156,-23.141762964949553
157,-23.21136741783068
158,-23.279952731566343
159,-23.343914903311905
160,-23.41128905543001
161,-23.47802614859064
162,-23.544783416451782
163,-23.612887255577416
164,-23.67983964002203
165,-23.74629303946093
166,-23.816439447474494
167,-23.88010144531691
168,-23.947758781554104
169,-24.01411731976261
170,-24.08120462240652
171,-24.1477057185723
172,-24.21402451114221
173,-24.281614789796144
174,-24.34960140802291
175,-24.415897046607533
176,-24.4841083749788
177,-24.55216186183294
178,-24.617218664425394
179,-24.684523354187423
180,-24.751481498402754
181,-24.818322696069337
182,-24.8859803578973
183,-24.953052607004363
184,-25.020060543118408
185,-25.088338526862607
186,-25.153631662505475
187,-25.221011412904158
188,-25.2876675863882
189,-25.35462581290311
190,-25.421524507250073
191,-25.48815804473006
192,-25.555693346207594
193,-25.622921390793557
194,-25.689529213448697
195,-25.757251958147382
196,-25.82471538168644
197,-25.890662689289982
198,-25.957907332443266
199,-26.024993723090866
200,-26.091834586399422
201,-26.159181367887513
202,-26.226335281874512
203,-26.293383911150045
204,-26.36092773708371
205,-26.42708644801764
206,-26.494352793588593
207,-26.561104621610955
208,-26.628126934782806
209,-26.69512031124984
210,-26.76191011015028
211,-26.829310044031534
212,-26.89631561884645
213,-26.963100410488487
214,-27.030498184543546
215,-27.097731108751077
216,-27.16417511404192
217,-27.231316841699552
218,-27.298452194404238
219,-27.36531296850798
220,-27.43249348385125
221,-27.499637698725238
222,-27.56669543047468
223,-27.63391646422177
224,-27.70050680189994
225,-27.767708859995597
226,-27.83451890263439
227,-27.90156115179338
228,-27.96860476748885
229,-28.03547181674503
230,-28.10274344824799
231,-28.169698409672023
232,-28.23661155234586
233,-28.30380648665555
234,-28.370942967643153
235,-28.43764992935898
236,-28.50472541268409
237,-28.571857581942105
238,-28.638753024073317
239,-28.705859681360614
240,-28.772967839870553
241,-28.840026372169174
242,-28.90710164260439
243,-28.97390891613562
244,-29.04106106947737
245,-29.10792452317136
246,-29.174968131109882
247,-29.242027920749074
248,-29.308953749045987
249,-29.376124271820753
250,-29.44308114051823
251,-29.51005894423315
252,-29.577151448697332
253,-29.644233425431082
254,-29.711090384117846
255,-29.778132456302338
256,-29.845242352950617
257,-29.912170771381493
258,-29.979238985646802
259,-30.046316346433475
260,-30.11336361827375
261,-30.180386358968732
262,-30.247301997541037
263,-30.314417218494825
264,-30.381322700531285
265,-30.44836572391991
266,-30.515422343387968
267,-30.582384075702123
268,-30.649489697394053
269,-30.716463580236706
270,-30.783472459796002
271,-30.850513392269892
272,-30.91756932617572
273,-30.984507827355742
274,-31.05153137465326
275,-31.118617475847753
276,-31.18557387454523
277,-31.25262125158265
278,-31.319674898939333
279,-31.386713314691118
280,-31.453721545045415
281,-31.52068903781413
282,-31.58777725434095
283,-31.654715280392104
284,-31.721754611993063
285,-31.788803269287268
286,-31.85578648378064
287,-31.9228535738507
288,-31.989843385795265
289,-32.05686725929869
290,-32.12388355900509
291,-32.19092682624548
292,-32.25790784895442
293,-32.32492220428531
294,-32.39198826776182
295,-32.4589660275032
296,-32.52600289927797
297,-32.59303968811451
298,-32.66007290978024
299,-32.72707981681028
300,-32.79407160274872
301,-32.86113986182435
302,-32.928102704070554
303,-32.99513755672593
304,-33.06217778806766
305,-33.12917509086663
306,-33.19621988405028
307,-33.26322077045501
308,-33.33025045522419
309,-33.397257260544535
310,-33.46429314084233
311,-33.53129579453875
312,-33.5983071086436
