state,target,point
265,60.0,[438 297]
266,60.0,[438 300]
267,60.0,[438 300]
268,60.0,[438 300]
269,60.0,[438 300]
270,60.0,[438 300]
271,60.0,[438 300]
272,60.0,[438 300]
273,60.0,[438 300]
274,60.0,[438 300]
275,60.0,[438 300]
276,60.0,[438 300]
277,60.0,[438 300]
278,60.0,[438 300]
279,60.0,[438 300]
280,60.0,[438 300]
281,60.0,[438 300]
282,60.0,[438 300]
283,60.0,[438 300]
284,60.0,[438 300]
285,60.0,[438 297]
286,60.0,[438 300]
287,60.0,[438 300]
288,60.0,[438 300]
289,60.0,[438 300]
290,60.0,[438 300]
291,60.0,[438 300]
292,60.0,[438 300]
293,60.0,[438 300]
294,60.0,[438 300]
295,60.0,[438 300]
296,60.0,[438 300]
297,60.0,[438 300]
298,60.0,[438 300]
299,60.0,[438 300]
300,60.0,[438 300]
301,60.0,[438 300]
302,60.0,[438 300]
303,60.0,[438 300]
304,60.0,[438 300]
305,60.0,[438 297]
306,60.0,[438 300]
307,60.0,[438 300]
308,60.0,[438 300]
309,60.0,[438 300]
310,60.0,[438 300]
311,60.0,[438 300]
312,60.0,[438 300]
313,60.0,[438 300]
314,60.0,[438 300]
315,60.0,[438 300]
316,60.0,[438 300]
317,60.0,[438 300]
318,60.0,[438 300]
319,60.0,[438 300]
320,60.0,[438 300]
321,60.0,[438 300]
322,60.0,[438 300]
323,60.0,[438 300]
324,60.0,[438 300]
325,60.0,[438 300]
326,60.0,[438 300]
327,60.0,[438 300]
328,60.0,[438 300]
329,60.0,[438 300]
330,60.0,[438 300]
331,60.0,[438 300]
332,60.0,[438 300]
333,60.0,[438 300]
334,60.0,[438 300]
335,60.0,[438 300]
336,60.0,[438 300]
337,60.0,[438 300]
338,60.0,[438 300]
339,60.0,[438 300]
340,60.0,[438 300]
341,60.0,[438 300]
342,60.0,[438 300]
343,60.0,[438 300]
344,60.0,[438 300]
345,60.0,[438 300]
346,60.0,[438 300]
347,60.0,[438 300]
348,60.0,[438 300]
349,60.0,[438 300]
350,60.0,[438 300]
351,60.0,[438 300]
352,60.0,[438 300]
353,60.0,[438 300]
354,60.0,[438 300]
355,60.0,[438 300]
356,60.0,[438 300]
357,60.0,[438 300]
358,60.0,[438 300]
359,60.0,[438 300]
360,60.0,[438 300]
361,60.0,[438 300]
362,60.0,[438 300]
363,60.0,[438 300]
364,60.0,[438 300]
365,60.0,[438 300]
366,60.0,[438 300]
367,60.0,[438 300]
368,60.0,[438 300]
369,60.0,[438 300]
370,60.0,[438 300]
371,60.0,[438 300]
372,60.0,[438 300]
373,60.0,[438 300]
374,60.0,[438 300]
375,60.0,[438 300]
376,60.0,[438 300]
377,60.0,[438 300]
378,60.0,[438 300]
379,60.0,[438 300]
380,60.0,[438 300]
381,60.0,[438 300]
382,60.0,[438 300]
383,60.0,[438 300]
384,60.0,[438 300]
385,60.0,[438 300]
386,60.0,[438 300]
387,60.0,[438 300]
388,60.0,[438 300]
389,60.0,[438 300]
390,60.0,[438 300]
391,60.0,[438 300]
392,60.0,[438 300]
393,60.0,[438 300]
394,60.0,[438 300]
395,60.0,[438 300]
396,60.0,[438 300]
397,60.0,[438 300]
398,60.0,[438 300]
399,60.0,[438 300]
400,60.0,[438 300]
401,60.0,[438 300]
402,60.0,[438 300]
403,60.0,[438 300]
404,60.0,[438 300]
405,60.0,[438 300]
406,60.0,[438 300]
407,60.0,[438 300]
408,60.0,[438 300]
409,60.0,[438 300]
410,60.0,[438 300]
411,60.0,[438 300]
412,60.0,[438 300]
413,60.0,[438 300]
414,60.0,[438 300]
415,60.0,[438 300]
416,60.0,[438 300]
417,60.0,[438 300]
418,60.0,[438 300]
419,60.0,[438 300]
420,60.0,[438 300]
421,60.0,[438 300]
422,60.0,[438 300]
423,60.0,[438 300]
424,60.0,[438 300]
425,60.0,[438 300]
426,60.0,[438 300]
427,60.0,[438 300]
428,60.0,[438 300]
429,60.0,[438 300]
430,60.0,[438 300]
431,60.0,[438 300]
432,60.0,[438 300]
433,60.0,[438 300]
434,60.0,[438 300]
435,60.0,[438 300]
436,60.0,[438 300]
437,60.0,[438 300]
438,60.0,[438 300]
439,60.0,[438 300]
440,60.0,[438 300]
441,60.0,[438 300]
442,60.0,[438 300]
443,60.0,[438 300]
444,60.0,[438 300]
445,60.0,[438 300]
446,60.0,[438 300]
447,60.0,[438 300]
448,60.0,[438 300]
449,60.0,[438 300]
450,60.0,[438 300]
451,60.0,[438 300]
452,60.0,[438 300]
453,60.0,[438 300]
454,60.0,[438 300]
455,60.0,[438 300]
456,60.0,[438 300]
457,60.0,[438 300]
458,60.0,[438 300]
459,60.0,[438 300]
460,60.0,[438 300]
461,60.0,[438 300]
462,60.0,[438 300]
463,60.0,[438 300]
464,60.0,[438 300]
465,60.0,[438 300]
466,60.0,[438 300]
467,60.0,[438 300]
468,60.0,[438 300]
469,60.0,[438 300]
470,60.0,[438 300]
471,60.0,[438 300]
472,60.0,[438 300]
473,60.0,[438 300]
474,60.0,[438 300]
475,60.0,[438 300]
476,60.0,[438 300]
477,60.0,[438 300]
478,60.0,[438 300]
479,60.0,[438 300]
480,60.0,[438 300]
481,60.0,[438 300]
482,60.0,[438 300]
483,60.0,[438 300]
484,60.0,[438 300]
485,60.0,[438 300]
486,60.0,[438 300]
487,60.0,[438 300]
488,60.0,[438 300]
489,60.0,[438 300]
490,60.0,[438 300]
491,60.0,[438 300]
492,60.0,[438 300]
493,60.0,[438 300]
494,60.0,[438 300]
495,60.0,[438 300]
496,60.0,[438 300]
497,60.0,[438 300]
498,60.0,[438 300]
499,60.0,[438 300]
500,60.0,[438 300]
501,60.0,[438 300]
