state,target,point
96,7.0,[210 225]
97,7.0,[198 237]
98,7.0,[213 225]
99,7.0,[210 228]
100,7.0,[210 228]
101,7.0,[210 228]
102,7.0,[210 228]
103,7.0,[210 228]
104,7.0,[210 228]
105,7.0,[210 228]
106,7.0,[207 231]
107,7.0,[207 228]
108,7.0,[207 231]
109,7.0,[207 231]
110,7.0,[204 234]
111,7.0,[207 231]
112,7.0,[207 231]
113,7.0,[207 228]
114,7.0,[207 231]
115,7.0,[207 228]
116,7.0,[204 231]
117,7.0,[207 231]
118,7.0,[210 228]
119,7.0,[207 231]
120,7.0,[210 228]
121,7.0,[207 228]
122,7.0,[207 231]
123,7.0,[207 228]
124,7.0,[207 231]
125,7.0,[207 231]
126,7.0,[207 231]
127,7.0,[207 231]
128,7.0,[207 228]
129,7.0,[207 231]
130,7.0,[207 228]
131,7.0,[207 231]
132,7.0,[207 228]
133,7.0,[207 231]
134,7.0,[207 231]
135,7.0,[207 231]
136,7.0,[207 231]
137,7.0,[207 228]
138,7.0,[207 231]
139,7.0,[207 228]
140,7.0,[207 231]
141,7.0,[207 231]
142,7.0,[207 231]
143,7.0,[207 231]
144,7.0,[207 231]
145,7.0,[207 231]
146,7.0,[207 231]
147,7.0,[207 228]
148,7.0,[207 231]
149,7.0,[207 231]
150,7.0,[207 231]
151,7.0,[207 231]
152,7.0,[207 231]
153,7.0,[207 228]
154,7.0,[207 231]
155,7.0,[207 228]
156,7.0,[207 231]
157,7.0,[207 231]
158,7.0,[207 231]
159,7.0,[207 231]
160,7.0,[207 231]
161,7.0,[207 231]
162,7.0,[207 231]
163,7.0,[207 231]
164,7.0,[207 231]
165,7.0,[207 231]
166,7.0,[207 231]
167,7.0,[207 231]
168,7.0,[207 231]
169,7.0,[207 231]
170,7.0,[207 231]
171,7.0,[207 231]
172,7.0,[207 231]
173,7.0,[207 231]
174,7.0,[207 231]
175,7.0,[207 231]
176,7.0,[207 231]
177,7.0,[207 231]
178,7.0,[207 231]
179,7.0,[207 231]
180,7.0,[207 231]
181,7.0,[207 231]
182,7.0,[207 231]
183,7.0,[207 231]
184,7.0,[207 231]
185,7.0,[207 231]
186,7.0,[207 231]
187,7.0,[207 231]
188,7.0,[207 231]
189,7.0,[207 231]
190,7.0,[207 231]
191,7.0,[207 231]
192,7.0,[207 231]
193,7.0,[207 231]
194,7.0,[207 231]
195,7.0,[207 231]
196,7.0,[207 231]
197,7.0,[207 231]
198,7.0,[207 231]
199,7.0,[207 231]
200,7.0,[207 231]
201,7.0,[207 231]
202,7.0,[207 231]
203,7.0,[207 231]
204,7.0,[207 231]
205,7.0,[207 231]
206,7.0,[207 231]
207,7.0,[207 231]
208,7.0,[207 231]
209,7.0,[207 231]
210,7.0,[207 231]
211,7.0,[207 231]
212,7.0,[207 231]
213,7.0,[207 231]
214,7.0,[207 231]
215,7.0,[207 231]
216,7.0,[207 231]
217,7.0,[207 231]
218,7.0,[207 231]
219,7.0,[207 231]
220,7.0,[207 231]
221,7.0,[207 231]
222,7.0,[207 231]
223,7.0,[207 231]
224,7.0,[207 231]
225,7.0,[207 231]
226,7.0,[207 231]
227,7.0,[207 231]
228,7.0,[207 231]
229,7.0,[207 231]
230,7.0,[207 231]
231,7.0,[207 231]
232,7.0,[207 231]
233,7.0,[207 231]
234,7.0,[207 231]
235,7.0,[207 231]
236,7.0,[207 231]
237,7.0,[207 231]
238,7.0,[207 231]
239,7.0,[207 231]
240,7.0,[207 231]
241,7.0,[207 231]
242,7.0,[207 231]
243,7.0,[207 231]
244,7.0,[207 231]
245,7.0,[207 231]
246,7.0,[207 231]
247,7.0,[207 231]
248,7.0,[207 231]
249,7.0,[207 231]
250,7.0,[207 231]
251,7.0,[207 231]
252,7.0,[207 231]
253,7.0,[207 231]
254,7.0,[207 231]
255,7.0,[207 231]
256,7.0,[207 231]
257,7.0,[207 231]
258,7.0,[207 231]
259,7.0,[207 231]
260,7.0,[207 231]
261,7.0,[207 231]
262,7.0,[207 231]
263,7.0,[207 231]
264,7.0,[207 231]
265,7.0,[207 231]
266,7.0,[207 231]
267,7.0,[207 231]
268,7.0,[207 231]
269,7.0,[207 231]
270,7.0,[207 231]
271,7.0,[207 231]
272,7.0,[207 231]
273,7.0,[207 231]
274,7.0,[207 231]
275,7.0,[207 231]
276,7.0,[207 231]
277,7.0,[207 231]
278,7.0,[207 231]
279,7.0,[207 231]
280,7.0,[207 231]
281,7.0,[207 231]
282,7.0,[207 231]
283,7.0,[207 231]
284,7.0,[207 231]
285,7.0,[207 231]
286,7.0,[207 231]
287,7.0,[207 231]
288,7.0,[207 231]
289,7.0,[207 231]
290,7.0,[207 231]
291,7.0,[207 231]
292,7.0,[207 231]
293,7.0,[207 231]
294,7.0,[207 231]
295,7.0,[207 231]
296,7.0,[207 231]
297,7.0,[207 231]
298,7.0,[207 231]
299,7.0,[207 231]
300,7.0,[207 231]
301,7.0,[207 231]
302,7.0,[207 231]
303,7.0,[207 231]
304,7.0,[207 231]
305,7.0,[207 231]
306,7.0,[207 231]
307,7.0,[207 231]
308,7.0,[207 231]
309,7.0,[207 231]
310,7.0,[207 231]
311,7.0,[207 231]
312,7.0,[207 231]
313,7.0,[207 231]
314,7.0,[207 231]
315,7.0,[207 231]
316,7.0,[207 231]
317,7.0,[207 231]
318,7.0,[207 231]
319,7.0,[207 231]
320,7.0,[207 231]
321,7.0,[207 231]
322,7.0,[207 231]
323,7.0,[207 231]
324,7.0,[207 231]
325,7.0,[207 231]
326,7.0,[207 231]
327,7.0,[207 231]
328,7.0,[207 231]
329,7.0,[207 231]
330,7.0,[207 231]
331,7.0,[207 231]
332,7.0,[207 231]
333,7.0,[207 231]
334,7.0,[207 231]
335,7.0,[207 231]
336,7.0,[207 231]
337,7.0,[207 231]
338,7.0,[207 231]
339,7.0,[207 231]
340,7.0,[207 231]
341,7.0,[207 231]
342,7.0,[207 231]
343,7.0,[207 231]
344,7.0,[207 231]
345,7.0,[207 231]
346,7.0,[207 231]
347,7.0,[207 231]
348,7.0,[207 231]
349,7.0,[207 231]
350,7.0,[207 231]
351,7.0,[207 231]
352,7.0,[207 231]
353,7.0,[207 231]
354,7.0,[207 231]
355,7.0,[207 231]
356,7.0,[207 231]
357,7.0,[207 231]
358,7.0,[207 231]
359,7.0,[207 231]
360,7.0,[207 231]
361,7.0,[207 231]
362,7.0,[207 231]
363,7.0,[207 231]
364,7.0,[207 231]
365,7.0,[207 231]
366,7.0,[207 231]
367,7.0,[207 231]
368,7.0,[207 231]
369,7.0,[207 231]
370,7.0,[207 231]
371,7.0,[207 231]
372,7.0,[207 231]
373,7.0,[207 231]
374,7.0,[207 231]
375,7.0,[207 231]
376,7.0,[207 231]
377,7.0,[207 231]
378,7.0,[207 231]
379,7.0,[207 231]
380,7.0,[207 231]
381,7.0,[207 231]
382,7.0,[207 231]
383,7.0,[207 231]
384,7.0,[207 231]
385,7.0,[207 231]
386,7.0,[207 231]
387,7.0,[207 231]
388,7.0,[207 231]
389,7.0,[207 231]
390,7.0,[207 231]
391,7.0,[207 231]
392,7.0,[207 231]
393,7.0,[207 231]
394,7.0,[207 231]
395,7.0,[207 231]
396,7.0,[207 231]
397,7.0,[207 231]
398,7.0,[207 231]
399,7.0,[207 231]
400,7.0,[207 231]
401,7.0,[207 231]
402,7.0,[207 231]
403,7.0,[207 231]
404,7.0,[207 231]
405,7.0,[207 231]
406,7.0,[207 231]
407,7.0,[207 231]
408,7.0,[207 231]
409,7.0,[207 231]
410,7.0,[207 231]
411,7.0,[207 231]
412,7.0,[207 231]
413,7.0,[207 231]
414,7.0,[207 231]
415,7.0,[207 231]
416,7.0,[207 231]
417,7.0,[207 231]
418,7.0,[207 231]
419,7.0,[207 231]
420,7.0,[207 231]
421,7.0,[207 231]
422,7.0,[207 231]
423,7.0,[207 231]
424,7.0,[207 231]
425,7.0,[207 231]
426,7.0,[207 231]
427,7.0,[207 231]
428,7.0,[207 231]
429,7.0,[207 231]
430,7.0,[207 231]
431,7.0,[207 231]
432,7.0,[207 231]
433,7.0,[207 231]
434,7.0,[207 231]
435,7.0,[207 231]
436,7.0,[207 231]
437,7.0,[207 231]
438,7.0,[207 231]
439,7.0,[207 231]
440,7.0,[207 231]
441,7.0,[207 231]
442,7.0,[207 231]
443,7.0,[207 231]
444,7.0,[207 231]
445,7.0,[207 231]
446,7.0,[207 231]
447,7.0,[207 231]
448,7.0,[207 231]
449,7.0,[207 231]
450,7.0,[207 231]
451,7.0,[207 231]
452,7.0,[207 231]
453,7.0,[207 231]
454,7.0,[207 231]
455,7.0,[207 231]
456,7.0,[207 231]
457,7.0,[207 231]
458,7.0,[207 231]
459,7.0,[207 231]
460,7.0,[207 231]
461,7.0,[207 231]
462,7.0,[207 231]
463,7.0,[207 231]
464,7.0,[207 231]
465,7.0,[207 231]
466,7.0,[207 231]
467,7.0,[207 231]
468,7.0,[207 231]
469,7.0,[207 231]
470,7.0,[207 231]
471,7.0,[207 231]
472,7.0,[207 231]
473,7.0,[207 231]
474,7.0,[207 231]
475,7.0,[207 231]
476,7.0,[207 231]
477,7.0,[207 231]
478,7.0,[207 231]
479,7.0,[207 231]
480,7.0,[207 231]
481,7.0,[207 231]
482,7.0,[207 231]
483,7.0,[207 231]
484,7.0,[207 231]
485,7.0,[207 231]
486,7.0,[207 231]
487,7.0,[207 231]
488,7.0,[207 231]
489,7.0,[207 231]
490,7.0,[207 231]
491,7.0,[207 231]
492,7.0,[207 231]
493,7.0,[207 231]
494,7.0,[207 231]
495,7.0,[207 231]
496,7.0,[207 231]
497,7.0,[207 231]
498,7.0,[207 231]
499,7.0,[207 231]
500,7.0,[207 231]
501,7.0,[207 231]
