state,target,point
0,0.0,[ 63 267]
1,0.0,[ 63 267]
2,0.0,[516 369]
3,1.0,[450 348]
4,4.0,[120 429]
5,1.0,[447 348]
6,0.0,[ 66 306]
7,5.0,[447 261]
8,8.0,[426 483]
9,60.0,[438 288]
10,0.0,[522 231]
11,57.0,[171 258]
12,0.0,[294 531]
13,9.0,[372 201]
14,10.0,[270 453]
15,13.0,[351 444]
16,0.0,[225  81]
17,39.0,[345 426]
18,18.0,[420 111]
19,51.0,[168 336]
20,0.0,[237 525]
21,9.0,[159 294]
22,0.0,[309  66]
23,19.0,[159 249]
24,24.0,[486 177]
25,17.0,[156 327]
26,0.0,[372 516]
27,19.0,[162 261]
28,0.0,[372  81]
29,3.0,[207 309]
30,30.0,[168 480]
31,57.0,[171 270]
32,32.0,[174 114]
33,3.0,[204 303]
34,0.0,[ 84 378]
35,57.0,[168 270]
36,36.0,[480 435]
37,19.0,[213 270]
38,0.0,[ 78 231]
39,19.0,[189 276]
40,0.0,[537 300]
41,3.0,[180 282]
42,30.0,[267 432]
43,19.0,[183 270]
44,12.0,[390 222]
45,19.0,[186 255]
46,14.0,[321 174]
47,7.0,[201 243]
48,8.0,[234 168]
49,14.0,[339 180]
50,25.0,[312 285]
51,19.0,[204 273]
52,9.0,[375 216]
53,17.0,[195 345]
54,42.0,[327 168]
55,3.0,[189 309]
56,48.0,[225 180]
57,19.0,[192 282]
58,18.0,[411 360]
59,19.0,[177 252]
60,20.0,[429 294]
61,7.0,[204 243]
62,14.0,[342 195]
63,14.0,[324 195]
64,14.0,[324 183]
65,11.0,[315 195]
66,16.0,[237 201]
67,14.0,[318 186]
68,14.0,[345 186]
69,7.0,[201 240]
70,14.0,[318 186]
71,7.0,[210 231]
72,16.0,[225 210]
73,7.0,[198 240]
74,7.0,[216 219]
75,7.0,[210 225]
76,7.0,[207 231]
77,7.0,[201 243]
78,7.0,[195 237]
79,7.0,[204 237]
80,16.0,[222 213]
81,7.0,[207 234]
82,16.0,[228 213]
83,7.0,[204 234]
84,16.0,[225 213]
85,7.0,[201 237]
86,16.0,[222 216]
87,7.0,[201 237]
88,16.0,[219 216]
89,7.0,[201 237]
90,7.0,[213 225]
91,7.0,[207 228]
92,7.0,[207 231]
93,7.0,[198 237]
94,7.0,[210 228]
95,7.0,[201 237]
