state,target,point
265,16.0,[255 246]
266,16.0,[255 246]
267,16.0,[255 246]
268,16.0,[255 246]
269,16.0,[255 246]
270,16.0,[255 246]
271,16.0,[255 246]
272,16.0,[255 246]
273,16.0,[255 246]
274,16.0,[255 246]
275,16.0,[255 246]
276,16.0,[255 246]
277,16.0,[255 246]
278,16.0,[255 246]
279,16.0,[255 246]
280,16.0,[255 246]
281,16.0,[255 246]
282,16.0,[255 246]
283,16.0,[255 246]
284,16.0,[255 246]
285,16.0,[255 246]
286,16.0,[255 246]
287,16.0,[255 246]
288,16.0,[255 246]
289,16.0,[255 246]
290,16.0,[255 246]
291,16.0,[255 246]
292,16.0,[255 246]
293,16.0,[255 246]
294,16.0,[255 246]
295,16.0,[255 246]
296,16.0,[255 246]
297,16.0,[255 246]
298,16.0,[255 246]
299,16.0,[255 246]
300,16.0,[255 246]
301,16.0,[255 246]
302,16.0,[255 246]
303,16.0,[255 246]
304,16.0,[255 246]
305,16.0,[255 246]
306,16.0,[255 246]
307,16.0,[255 246]
308,16.0,[255 246]
309,16.0,[255 246]
310,16.0,[255 246]
311,16.0,[255 246]
312,16.0,[255 246]
313,16.0,[255 246]
314,16.0,[255 246]
315,16.0,[255 246]
316,16.0,[255 246]
317,16.0,[255 246]
318,16.0,[255 246]
319,16.0,[255 246]
320,16.0,[255 246]
321,16.0,[255 246]
322,16.0,[255 246]
323,16.0,[255 246]
324,16.0,[255 246]
325,16.0,[255 246]
326,16.0,[255 246]
327,16.0,[255 246]
328,16.0,[255 246]
329,16.0,[255 246]
330,16.0,[255 246]
331,16.0,[255 246]
332,16.0,[255 246]
333,16.0,[255 246]
334,16.0,[255 246]
335,16.0,[255 246]
336,16.0,[255 246]
337,16.0,[255 246]
338,16.0,[255 246]
339,16.0,[255 246]
340,16.0,[255 246]
341,16.0,[255 246]
342,16.0,[255 246]
343,16.0,[255 246]
344,16.0,[255 246]
345,16.0,[255 246]
346,16.0,[255 246]
347,16.0,[255 246]
348,16.0,[255 246]
349,16.0,[255 246]
350,16.0,[255 246]
351,16.0,[255 246]
352,16.0,[255 246]
353,16.0,[255 246]
354,16.0,[255 246]
355,16.0,[255 246]
356,16.0,[255 246]
357,16.0,[255 246]
358,16.0,[255 246]
359,16.0,[255 246]
360,16.0,[255 246]
361,16.0,[255 246]
362,16.0,[255 246]
363,16.0,[255 246]
364,16.0,[255 246]
365,16.0,[255 246]
366,16.0,[255 246]
367,16.0,[255 246]
368,16.0,[255 246]
369,16.0,[255 246]
370,16.0,[255 246]
371,16.0,[255 246]
372,16.0,[255 246]
373,16.0,[255 246]
374,16.0,[255 246]
375,16.0,[255 246]
376,16.0,[255 246]
377,16.0,[255 246]
378,16.0,[255 246]
379,16.0,[255 246]
380,16.0,[255 246]
381,16.0,[255 246]
