source,player,n_train,n_test,train_ll,test_ll,scale,seconds,information_pd,step_sensitivity,nu_held_fixed,nu,ratio,tilt_deg,rho,log_scale,se_log_scale,bias_x,se_bias_x,log_nu_minus_2,se_log_nu_minus_2,e1,se_e1,e2,se_e2,logit_s_hit,se_logit_s_hit,logit_s_miss,se_logit_s_miss,pooled_test_ll
dartsviz_pdc_2017,Peter Wright,652,651,-2634.417899094561,-2628.994198043257,5.402534155842847,146.3810544013977,True,6.859529570730534e-05,True,2.000000000002974,1.072069996044935,179.23551811064888,-0.001858352311031839,1.6868681316080436,0.04261720273844593,0.3488886380539791,0.6629821932480701,-26.5410175804028,,0.06956657833873314,0.05130393538413986,-0.0018568563777730369,0.08354061836453175,-3.563347586419685,0.2842381786588195,-2.0069373399839945,0.11543579490917144,-2684.6704272001916
dartsviz_pdc_2017,Michael van Gerwen,542,530,-2164.3322176094475,-2120.0413032524293,4.449092517774837,56.64939498901367,True,5.921862744990084e-05,False,2.479742856036471,1.1859363812185073,162.20953260728118,-0.09921451987179779,1.4927001467919623,0.08709279704950677,-3.3694145300923344,0.7864391373837012,-0.7345050352182886,0.5081870295471294,0.1386932585502707,0.08270688147018807,-0.09922483239671787,0.08999380337059334,-2.4191498805910276,0.1677206491680227,-0.370560822519055,0.08429192635726998,-2177.3597999449157
dartsviz_pdc_2017,Raymond van Barneveld,395,398,-1577.2843317410152,-1610.7393526563983,4.4152387718398005,132.88337206840515,True,6.036382826480651e-05,True,2.0000000000000937,1.3916395335178107,170.14105433874,-0.11281716463472616,1.4850619145504667,0.09670231014696891,-5.092689871552903,1.0586016493727586,-30.035531257654263,,0.31110480515706646,0.10297671536580122,-0.11150125999947648,0.10890640155969084,-3.909233258803506,0.4129899671739282,-1.7201097919886101,0.1409303105424165,-1642.4484281156715
dartsviz_pdc_2017,Daryl Gurney,370,375,-1461.4353565930605,-1598.898301589669,5.354959435001491,49.24480628967285,True,0.00013359975696055956,False,2.5748385010401713,1.1967261407716374,62.93473000425075,0.1447732788532553,1.6780231287079002,0.07012674337037583,-1.318377412626109,0.8109003721855228,-0.553666145391746,0.47130394823581284,-0.10522882770197578,0.07004447484737204,0.14553117433971097,0.1237040783363083,-5.746482683114488,1.0021738817749617,-1.2224004078304445,0.11596235140661862,-1609.3245452837014
dartsviz_pdc_2017,Gary Anderson,351,344,-1519.7415945025684,-1482.3315758506626,5.0444931524014125,59.027997732162476,True,0.00042339255159816767,False,2.0383562876216095,1.1167133876511284,47.70948321873915,0.10945820502313572,1.618297183426861,0.08343107396769436,1.799613263758844,0.9105277825830309,-3.2608368109804324,4.977689725701019,-0.010424986185566105,0.07983727042311099,0.10989653678696254,0.11059506312855193,-2.5140742476925535,0.21696238161146317,-0.7242371972965922,0.10939107099628972,-1484.3452160731108
dartsviz_pdc_2017,Phil Taylor,334,333,-1293.6316679576162,-1284.704341230024,5.000155002404423,73.63351368904114,True,0.00018817980561228924,False,3.0912452668882153,1.1609448820742343,168.40614219489862,-0.058876245062243544,1.6094689124344799,0.12905344374222388,-5.709756531369473,1.0681560037548572,0.08731949083188204,0.4298314067978928,0.1371790534392084,0.10921277757113762,-0.058760206128617584,0.19890066960083808,-1.8336655031123041,0.172464600427335,-1.5007503589109035,0.1321814533504705,-1337.1488502086822
dartsviz_pdc_2017,Dave Chisnall,311,295,-1297.6301113208845,-1304.58173844481,5.55110074302899,61.00823354721069,True,9.287132891820304e-05,False,2.5431631351192934,1.1922708358216845,88.39373232052397,0.009905561603711817,1.7139962401704323,0.04734169632006913,-1.2688549928528738,0.8421504404576348,-0.6103455711686184,0.5050753448950964,-0.17558339532240397,0.0712163494511795,0.009855171089141388,0.11613372457503339,-4.857908099682698,0.7116001794349491,-0.9562092951446808,0.11784663525776112,-1305.9058269399382
dartsviz_pdc_2017,Gerwyn Price,283,281,-1265.1632625246323,-1229.228325969324,5.713589371330019,51.42139530181885,True,2.957892109594517e-05,False,2.440615819638081,1.2481319645662539,77.89307005892574,0.09127114851545313,1.7428474376158412,0.06156990304016485,-0.5056879914529535,0.8677018688945116,-0.8195819404965821,0.6080913856362047,-0.20214761958003505,0.07436704005854634,0.09090752501982889,0.12984667893557023,-3.091240261006065,0.32384542102904795,-0.7567010236982386,0.11887246687690375,-1231.4263216670174
dartsviz_pdc_2017,James Wade,271,276,-1075.0703313439021,-1046.1071805247848,6.001522413354133,53.81000542640686,True,0.00011112244592363485,False,3.1959369525445496,1.3240359784643594,22.254077661755154,0.19550954561582864,1.7920131726016544,0.11193851637021617,-0.32884562739357015,0.9072056897049486,0.17892993887518727,0.38402909782787464,0.20017043461381792,0.09030774945176577,0.1967629520649792,0.14827018491668448,-2.5214724943002493,0.28771082354906835,-1.320947085322646,0.13223791778142138,-1059.4540198723435
dartsviz_pdc_2017,Mensur Suljovic,271,274,-1059.7279787203038,-1099.4130138988928,4.21215078409029,144.26294922828674,True,3.0121680134660934e-05,True,2.000000000000866,1.4214243402495774,7.467820525773243,0.09212079179402534,1.4379733923228728,0.09088989584982672,-5.16452298850263,1.1400059439173997,-27.774900239051064,,0.3397789429626656,0.09967357692260041,0.09063454856278924,0.12608059511253017,-3.0974460631000422,0.3411079629551798,-1.9261541790252186,0.17043882742101235,-1137.948094735322
dartsviz_pdc_2017,Simon Whitlock,265,276,-1221.3167357841621,-1213.5360252184196,5.553875967107164,131.75815200805664,True,3.324879678124013e-05,True,2.0000000000005094,1.1557782512059156,133.36811616238808,-0.14354248864203356,1.714496056461522,0.07339565282172261,-0.8353032536178209,1.0024972315258074,-28.3052486398433,,-0.008242369246239147,0.07584582344384279,-0.14453910706642975,0.11181439721140538,-3.2069760656049744,0.3629095241614551,-0.5055595918070812,0.11779098855485653,-1219.2718938234693
dartsviz_pdc_2017,Michael Smith,267,267,-1141.9272401887029,-1139.6095126570285,5.127711534888147,70.92067241668701,True,0.0001979378776742755,False,2.0917890210386476,1.1825847496160147,32.74073508167752,0.15152641048221888,1.6346594650891833,0.10195846016311458,-1.921352574549422,1.0925734314002915,-2.388262585036819,2.5456645886709803,0.0695944462467107,0.09845783140440938,0.15258028860121065,0.13866218950665815,-3.3705849857967687,0.4111221692501827,-0.5582739520689751,0.11415861883855051,-1152.2463414636495
dartsviz_pdc_2017,Jelle Klaasen,255,265,-1176.4322097240954,-1341.0397023309456,6.396458414374956,47.287562131881714,True,9.976271396060881e-05,False,3.522915062943711,1.3032787176524154,120.82544196453247,-0.22955334744646766,1.8557444644445023,0.06960571527872188,-0.34325997161346666,0.7920732885543444,0.4206263027870704,0.3547486653692684,-0.12577787414040403,0.07508151848233773,-0.2331159053713055,0.11407826690430213,-2.4995704608534517,0.28905133406303074,0.08786105054463321,0.1088063524114626,-1385.5118906749653
