sigma,max_score,x_idx,y_idx,stds
11.310721442885772,27.04403465156213,993,1608,18.98122335675191
11.430941883767536,26.834425083939554,993,1608,18.93936500272718
11.5511623246493,26.627473664930037,993,1608,18.897164845051353
11.671382765531062,26.42337915052376,993,1609,18.839060890519953
11.791603206412827,26.222112862095468,993,1609,18.7963529007278
11.91182364729459,26.023412359190647,993,1609,18.753353003345357
12.032044088176354,25.827253171459027,993,1609,18.710075874663623
12.152264529058117,25.633843004880895,993,1610,18.650347304216513
12.27248496993988,25.443120775065264,993,1610,18.606720746658347
12.392705410821645,25.25500410650131,992,1610,18.55016426853318
12.512925851703407,25.06941726263836,992,1610,18.506023967760918
12.63314629258517,24.886582696614767,992,1611,18.445121904378038
12.753366733466935,24.70616952012877,992,1611,18.400785014499
12.873587174348698,24.528086907202752,992,1611,18.356275820750344
12.99380761523046,24.35251947226179,992,1612,18.294601412960592
13.114028056112225,24.17942579869268,992,1612,18.249992175645886
13.234248496993988,24.0085762360306,992,1612,18.205246512460956
13.354468937875753,23.840250522835134,991,1613,18.13023497911416
13.474689378757516,23.67444778503095,991,1613,18.085448833994008
13.594909819639279,23.5107993616457,991,1613,18.04056449723436
13.715130260521043,23.349426944097548,991,1614,17.978063415712175
13.835350701402806,23.190393334417244,991,1614,17.93325310968945
13.95557114228457,23.03343418497237,991,1614,17.888374166820164
14.075791583166334,22.878744435479128,991,1615,17.825771165611563
14.196012024048096,22.7262594403294,990,1615,17.76824256501156
14.316232464929861,22.57596388779523,990,1615,17.723460730193764
14.436452905811624,22.427939600586868,990,1616,17.660956938128457
14.556673346693387,22.28190508872814,990,1616,17.616388163671047
14.676893787575152,22.137895200113526,990,1617,17.5538573498756
14.797114228456914,21.996012039623334,990,1617,17.509542604207706
14.917334669338677,21.855996206587253,990,1617,17.465230713310337
15.037555110220442,21.718111730008456,990,1618,17.403050638793275
15.157775551102205,21.58226807287651,989,1618,17.346381104317285
15.27799599198397,21.448381678788184,989,1619,17.284406412519473
15.398216432865732,21.31644309595511,989,1619,17.24075915187373
15.518436873747495,21.186297858996948,989,1620,17.179029238552022
15.63865731462926,21.058135673959505,989,1620,17.135760515384323
15.758877755511023,20.931673666253754,989,1620,17.092545401020423
15.879098196392787,20.807173441717797,989,1621,17.031484792980837
15.99931863727455,20.68449569521285,988,1621,16.976207505742423
16.119539078156315,20.563692886283558,988,1622,16.915592145490464
16.239759519038078,20.444574309090825,988,1622,16.87327311429225
16.359979959919844,20.32722555484399,988,1623,16.813116188488728
16.480200400801607,20.21153815385063,988,1623,16.771274573814022
16.60042084168337,20.09756712234026,988,1624,16.71163156962735
16.720641282565133,19.985219007144323,988,1624,16.670291326384753
16.840861723446896,19.874681398609404,987,1625,16.598968096852346
16.96108216432866,19.776694921706337,793,414,15.079944111169238
17.081302605210425,19.682261360220306,793,413,15.028933966472307
17.201523046092188,19.5893729886872,792,413,14.97290831042391
17.32174348697395,19.49788182838118,792,413,14.931674504816035
17.441963927855713,19.407684768601573,792,413,14.890691825786078
17.562184368737476,19.318929448485772,791,412,14.826865815564778
17.682404809619243,19.23158871990425,791,412,14.786699686970296
17.802625250501006,19.1454875715465,791,412,14.746793289410794
17.92284569138277,19.060686056422902,790,412,14.693082556346445
18.04306613226453,18.977314882179538,790,411,14.645169535702223
18.163286573146294,18.89513400510793,790,411,14.60636760620142
18.283507014028057,18.814223890397475,789,411,14.553925864562254
18.403727454909824,18.734583241200696,789,411,14.51579281368949
18.523947895791586,18.65612958717765,789,410,14.469541092154
18.64416833667335,18.57895111745801,788,410,14.418406230488026
18.764388777555112,18.502946549878,788,410,14.381414567539386
18.884609218436875,18.428029826674106,788,410,14.3447039264204
19.00482965931864,18.354376606179198,787,409,14.286625236926698
19.125050100200404,18.281840887288645,787,409,14.25079097448215
19.245270541082167,18.210342887804078,787,409,14.215241506769207
19.36549098196393,18.140039006021418,786,409,14.16668866884051
19.485711422845693,18.070781836771886,786,408,14.124000974481294
19.60593186372746,18.002585654513076,785,408,14.07640854684864
19.726152304609222,17.935500581881726,785,408,14.042448897459536
19.846372745490985,17.869372568073018,785,408,14.00877901442351
19.966593186372748,17.80425838625665,784,407,13.954905185397676
20.08681362725451,17.740212469728068,784,407,13.922123773752144
20.207034068136277,17.677076291561683,784,407,13.889632528689717
20.32725450901804,17.61497298800463,783,407,13.844705993285151
20.447474949899803,17.55378441195674,783,407,13.81292662769383
20.567695390781566,17.493462694558513,783,407,13.781438984723506
20.68791583166333,17.43416762109563,782,406,13.730909570661009
20.80813627254509,17.37571660281337,782,406,13.700304304451054
20.928356713426858,17.318167559452096,781,406,13.657638139810889
21.04857715430862,17.261503072851696,781,406,13.627740786344622
21.168797595190384,17.205631146612955,781,406,13.598132534160102
21.289018036072147,17.15065813045209,780,406,13.55673965264861
21.40923847695391,17.096483597619958,780,406,13.527835881382353
21.529458917835676,17.043074273065372,779,406,13.487296000121068
21.64967935871744,16.99053799463551,779,406,13.45909286499622
21.7698997995992,16.93872595782976,779,406,13.4311753826078
21.890120240480964,16.887688398008713,778,406,13.391895327633824
22.010340681362727,16.837428924541697,778,406,13.364671266505795
22.13056112224449,16.787855142393163,778,406,13.337729622668133
22.250781563126257,16.73906619534777,777,406,13.299696164880256
22.37100200400802,16.69096163868394,777,406,13.273438742080215
22.491222444889782,16.64353497092158,776,406,13.23623703415882
22.611442885771545,16.596844587576754,776,406,13.21065636113749
22.731663326653308,16.550776726776817,776,406,13.185350488594949
22.851883767535075,16.505403696389678,775,406,13.149366906063666
22.972104208416837,16.46067095928621,775,406,13.124725710221417
23.0923246492986,16.416540254483255,774,406,13.089553228949548
