state,value
0,0.0
1,0.0
2,-11.256277449611062
3,-13.367640675909495
4,-11.233875782232053
5,-13.19421739996697
6,-12.858845457306824
7,-13.339880809721103
8,-11.25872803587342
9,-13.296037584235245
10,-12.700571235294229
11,-13.16761889507751
12,-12.281741275443077
13,-13.25526756063478
14,-12.57400120844781
15,-13.312171895798944
16,-11.537039288526014
17,-13.287682094794876
18,-12.532558940636534
19,-12.79973557856809
20,-12.423174125459838
21,-12.99151540901153
22,-12.493017888872052
23,-12.68882345148623
24,-12.340883173458574
25,-12.99747461564297
26,-12.653779475550873
27,-12.946894902667005
28,-12.473983370028028
29,-13.29512875966633
30,-12.704437573894838
31,-13.41650438827604
32,-11.819985586262163
33,-13.319425225241288
34,-12.692929736906844
35,-12.949732222785164
36,-12.254032916244146
37,-13.49661241637768
38,-12.571784852674957
39,-13.272126672024907
40,-12.433646633295092
41,-13.473310823771866
42,-13.224939344084216
43,-13.459894191895911
44,-13.408149738283061
45,-13.596889473917827
46,-13.424950181503078
47,-13.621480380101778
48,-13.339206897460928
49,-13.68764206743221
50,-13.669283893492873
51,-13.638772997479991
52,-13.711980947716532
53,-13.84401027403795
54,-13.907625157972857
55,-13.91479017871598
56,-13.828372227977521
57,-14.111072549882756
58,-14.069760810489337
59,-13.972590180880632
60,-14.183835465185863
61,-14.406282728297427
62,-14.443426572883453
63,-14.605107904206363
64,-14.461566507283669
65,-14.606067771358708
66,-14.712181253626465
67,-14.715701826623485
68,-14.793053996941685
69,-14.879920246212963
70,-14.870167734664834
71,-15.015177895065325
72,-15.007503072649403
73,-15.091538902644023
74,-15.181538313985248
75,-15.200074015937084
76,-15.248310084550795
77,-15.35638567179208
78,-15.381253968465955
79,-15.474674517309811
80,-15.504558366725684
81,-15.646965000178607
82,-15.697980402810805
83,-15.72607742635288
84,-15.812439893517734
85,-15.895823822428119
86,-15.930722981046715
87,-16.008356811530618
88,-16.05035667173844
89,-16.066445296970446
90,-16.208232088705863
91,-16.236698295617487
92,-16.297471661703568
93,-16.353832126474526
94,-16.46399480348943
95,-16.460798114327655
96,-16.547971216211213
97,-16.584860515711974
98,-16.685147310220543
99,-16.734581306047854
100,-16.79577933126228
101,-16.905643644899186
102,-16.94322006819454
103,-17.008965066345894
104,-17.084020848054067
105,-17.122095901899126
106,-17.206695521845408
107,-17.255768758339517
108,-17.302516805370164
109,-17.395949812095235
110,-17.447134052055297
111,-17.511520930312646
112,-17.56488584731206
113,-17.64218151776898
114,-17.687484264702032
115,-17.751025471913913
116,-17.800284039811835
117,-17.88461839236859
118,-17.950488777336908
119,-18.008549006351238
120,-18.103316728056473
121,-18.13827050637745
122,-18.20940688953536
123,-18.278971513366873
124,-18.32901526671478
125,-18.405180601023567
126,-18.462538891866576
127,-18.52120671126981
128,-18.596085797986206
129,-18.651753169846014
130,-18.717678535975338
131,-18.776011254291863
132,-18.84492795947202
133,-18.898213438672588
134,-18.963545664408493
135,-19.021339385814787
136,-19.092952271947595
137,-19.155152242795513
138,-19.21972653655413
139,-19.29868336648603
140,-19.344413713162524
141,-19.414685621883937
142,-19.48155785680436
143,-19.536868100355974
144,-19.60784535166894
145,-19.667692095049013
146,-19.729460889859567
147,-19.798758204758307
148,-19.858189320880676
149,-19.923216446964478
150,-19.982508653918277
151,-20.052378674059163
152,-20.106854852717053
153,-20.17176334654823
154,-20.233209361893053
155,-20.300607609849912
156,-20.36273297576561
157,-20.425537885208772
158,-20.50070742393428
159,-20.552275672992092
160,-20.6198864637703
161,-20.685882805288013
162,-20.74369616367482
163,-20.812144830482055
164,-20.873085939080678
165,-20.937280853251952
166,-21.00249394451903
167,-21.06445054746999
168,-21.129323425191995
169,-21.188996544331136
170,-21.257107068349608
171,-21.315163940449054
172,-21.37914967208749
173,-21.441626024168446
174,-21.50729839543206
175,-21.570438071647995
176,-21.632383972117523
177,-21.70425362390331
178,-21.7592771970767
179,-21.82549974442064
180,-21.890818672576987
181,-21.950511439315296
182,-22.01732527122447
183,-22.079025813913567
184,-22.14430301914451
185,-22.207333053159235
186,-22.27041464192677
187,-22.335210910337
188,-22.395617375881134
189,-22.462271565834374
190,-22.52245118398789
191,-22.586476551220716
192,-22.64926824631691
193,-22.71390265890681
194,-22.77732757045131
195,-22.839440359410332
196,-22.908474188645158
197,-22.96623153396208
198,-23.031655956566222
199,-23.096377994637397
200,-23.15732166983777
201,-23.22300632662658
202,-23.285209543789932
203,-23.350543133463233
204,-23.412883068137216
205,-23.476488945599222
206,-23.541059696015115
207,-23.60212491046413
208,-23.66798713854511
209,-23.72925411678099
210,-23.793307861865408
211,-23.856254269501942
212,-23.920395777058946
213,-23.983956512089236
214,-24.046178151623543
215,-24.113497597558855
216,-24.173117864088756
217,-24.237918418583696
218,-24.30224529134161
219,-24.36401682230904
220,-24.42896626603878
221,-24.4914659787925
222,-24.556618948526147
223,-24.61882136132581
224,-24.68263706356304
225,-24.7469981710251
226,-24.808592580270037
227,-24.873837919007663
228,-24.935845647875315
229,-24.99985257343334
230,-25.062849293177166
231,-25.12677856436195
232,-25.19044867199773
233,-25.252784624316046
234,-25.3189733617124
235,-25.37983662656843
236,-25.444203537576474
237,-25.508249527412584
238,-25.570597971156815
239,-25.635080600786956
240,-25.697771348506784
241,-25.762680619557653
242,-25.824967748939233
243,-25.888818213088157
244,-25.95300119047235
245,-26.015041423785465
246,-26.079810149700293
247,-26.14229886672474
248,-26.206268177431628
249,-26.26929081593115
250,-26.333102777943484
251,-26.396818387722487
252,-26.459318925561757
253,-26.524707931057044
254,-26.586420480720143
255,-26.65051097207888
256,-26.71434618256067
257,-26.777091413517745
258,-26.84126913296707
259,-26.904103352101778
260,-26.968746242754417
261,-27.031220730831667
262,-27.095035002196244
263,-27.159058560065734
264,-27.22146372805492
265,-27.285887433794592
266,-27.34867537839104
267,-27.4125974787648
268,-27.47566176313585
269,-27.53939722808458
270,-27.60311654928946
271,-27.665786489894316
272,-27.73062370049692
273,-27.792908299597133
274,-27.85681622724443
275,-27.920505103209745
276,-27.98351763774636
277,-28.047491855841116
278,-28.11044031259826
279,-28.174842327595712
280,-28.237521572317664
281,-28.301276834619774
282,-28.36516698884172
283,-28.427858844767563
284,-28.492029166829493
285,-28.555012203516196
286,-28.618878309374814
287,-28.681995334250388
288,-28.74567611333943
289,-28.809379255020456
290,-28.872205019435892
291,-28.936658356547408
292,-28.999325876526115
293,-29.063111355571852
294,-29.126703437393118
295,-29.189893661377898
296,-29.253730955561554
297,-29.316773830929666
298,-29.380975060948916
299,-29.443838187893096
300,-29.507532844307438
301,-29.571316990289578
302,-29.63422865753475
303,-29.698212545057018
304,-29.761326733466056
305,-29.825137311924134
306,-29.888310437765096
307,-29.95194780442408
308,-30.015624909198475
309,-30.078588378820463
310,-30.142769590122963
311,-30.205694159328235
312,-30.26939823702796
