band,sigma_mm,se_bull,se_T20,se_D20,se_20 outer single,se_25 ring,se_best1,best1,best1_r_mm,se_best2,best2,se_best3,se_best4,se_best6,se_optimal,certificate,support_size,ratio_single_over_optimal,cert_of_best_single,logdet_best1,logdet_best4
elite,6.5,0.27334031819517574,3.778684109058814,1.8787443183033554,4.538535835822143,0.49056929893614565,0.27334031819517574,BULL,0.0,0.27334031819517574,BULL + BULL,0.27334031819517574,0.27334031819517574,0.27334031819517574,0.2733403182033064,1.000000000008651,1,0.9999999999405086,1.0,36.74765477080061,36.74765477080061
pro,8.0,0.3304238734747896,2.1538551399726824,0.8972140224607428,1.23185492793923,0.5880801731579587,0.3304238734747896,BULL,0.0,0.3304238734747896,BULL + BULL,0.33042387347478963,0.3304238734747896,0.3304238734747896,0.33042387350100993,1.0000000000134066,1,0.9999999998412925,1.0000000000000002,37.79700574391407,37.79700574391407
county,10.0,0.43406037736439135,1.7631940110831776,0.7567902256786881,0.6979026241579961,0.6092339209164743,0.43406037736439135,BULL,0.0,0.43406037736439135,BULL + BULL,0.43406037736439135,0.43406037736439135,0.43406037736439135,0.43406037745055465,1.000000000022449,1,0.9999999996029894,1.0,40.3210328633705,40.3210328633705
super_league,13.0,0.6444934481802427,1.8428158346056327,0.9307120414592864,0.6507077968909468,0.7584893668069781,0.6418586087829612,20,133.890625,0.6186987318458141,3 + 20,0.6151248151044518,0.6132034224405848,0.6137921786730397,0.6131684769445863,1.0000932176440707,14,1.0957692317227963,1.2092244457555568,49.129560077341225,48.17130607408199
league,16.0,0.915742396591991,1.6377837153275054,1.1887826457593484,0.7686856104973888,1.0105669810270157,0.7658607222087188,20,133.890625,0.7356351118703993,3 + 20,0.7331945126383738,0.7326438934412248,0.7327838480624133,0.7326552545916184,1.0000998357113942,28,1.0926982724969247,1.3560172521119278,50.909125197572756,50.31277637544735
club,20.0,1.3672578102690784,1.2982617072599216,1.483802198210792,1.0148827417877342,1.4518067319153265,1.014150723778492,5,137.05220785606724,0.944170605560602,17 + 5,0.9385666191770714,0.9390004342200489,0.9387642583329423,0.9380230881314067,1.0001801547133446,24,1.1689016017512717,1.8885356661054906,54.01150960589804,53.59690068318887
pub,28.0,2.373936575443241,1.2778814513842904,2.009322254743692,1.5822889078311613,2.4049789384124387,1.2430653097592184,T5,105.9963381152748,1.2216501048984278,8 + 5,1.2225326665727616,1.221635360145749,1.2216037688659345,1.2217009944743906,1.0003737771735928,174,1.0352805114061885,1.130663059032231,60.119247788155704,58.86420094606561
