k,worst_efficiency,targets,radii_mm,eff_elite,eff_pro,eff_county,eff_super_league,eff_league,eff_club,eff_pub
1,0.2751195917872641,25,11,0.31577667831881073,0.297059036123105,0.470735373601284,0.6384966369422597,0.5208853388793018,0.4206497048469497,0.2751195917872641
2,0.6063685845955427,BULL + T9,0;106,0.6434661642832381,0.7083972729215191,0.7595308352198281,0.757132782837351,0.6063685845955427,0.6118771083223041,0.622767602143209
3,0.6338256457743656,BULL + T12 + 16,0;104;83,0.6399253847415273,0.7097080952657411,0.7526656638587209,0.7574456589555005,0.6338256457743656,0.652061279136318,0.6574735658454017
4,0.6280384308592438,BULL + BULL + 3 + T11,0;4;116;106,0.6358378237409635,0.6575291276568679,0.7010571519818032,0.7362523368122372,0.6285694824804543,0.6532195113351852,0.6280384308592438
