band,sigma_true,n,design,k,mean_sigma_hat,bias,bias_pct,sd,rmse,fisher_se,bias_x,bias_y,n_ok
league,16.0,100,T20,1,14.859550999591688,-1.1404490004083119,-7.127806252551949,1.7971605317840218,2.125438955986866,1.9185007399701497,-0.20083898228447072,3.421946844528395,250
league,16.0,100,bull,1,16.10435635002761,0.10435635002761146,0.6522271876725716,1.3381711547323418,1.3395631672270418,1.284703576601071,-0.13653675752247274,-0.013206148326837308,250
league,16.0,100,D20,1,16.19292812512288,0.19292812512287938,1.2058007820179961,1.902352443823144,1.90832133109213,1.7333753251951698,0.4306041920948571,0.07462963862664518,250
league,16.0,100,best 1,1,15.667866398411213,-0.3321336015887866,-2.075835009929916,1.6607177179055355,1.6903443834069576,1.08189679370334,0.39469671362989134,-0.30953888664810236,250
league,16.0,100,best 2,2,15.84773123316347,-0.15226876683652968,-0.9516797927283105,1.0495352009210217,1.0584440555713648,1.039081342278801,0.05588752078763504,-0.000174032373194688,250
league,16.0,100,best 3,3,15.766562037654978,-0.2334379623450218,-1.4589872646563862,1.1103260538521067,1.132424802069937,1.0361932655368302,0.10082019348976523,0.060855089134031815,250
league,16.0,100,best 4,4,15.781066360176204,-0.21893363982379554,-1.3683352488987222,1.1339216037695097,1.1526348204560417,1.0354504341239914,0.21972671282279022,-0.07387806186718926,250
league,16.0,100,best 6,6,15.837004580727616,-0.16299541927238437,-1.0187213704524023,1.1221376107699288,1.1316905729651572,1.0352302555691901,0.21762088195005935,-0.2065500482759144,250
league,16.0,200,T20,1,15.03028742146205,-0.9697125785379495,-6.0607036158621845,1.402169294787944,1.702514875499141,1.3565848829443021,0.013142498966894678,3.2902554445689236,250
league,16.0,200,bull,1,16.065750614699777,0.06575061469977683,0.4109413418736052,0.8998529410089605,0.900455172406769,0.9084226108292285,-0.02508960183714115,0.026439152360383744,250
league,16.0,200,D20,1,16.093915614437613,0.09391561443761276,0.5869725902350797,1.2129317652650968,1.2141411762869845,1.2256814467869415,0.3274343704979148,0.06074316635969801,250
league,16.0,200,best 1,1,16.026483701194667,0.026483701194667475,0.16552313246667172,0.8516943831338616,0.8504017729295315,0.765016559371615,0.09103781975985115,-0.11736075557159964,250
league,16.0,200,best 2,2,15.939789521480913,-0.06021047851908712,-0.3763154907442945,0.751688529067399,0.7525960429580277,0.7347414633297602,-0.1033054688969306,0.09811841904869922,250
league,16.0,200,best 3,3,15.917498116524179,-0.0825018834758211,-0.5156367717238819,0.7609156732197312,0.763860754248763,0.7326799274051242,-0.011465101555173662,-0.004586057868671389,250
league,16.0,200,best 4,4,15.857990590703645,-0.14200940929635486,-0.8875588081022179,0.7356821216334779,0.747816784836681,0.7321740235516289,0.08651822844247192,0.02243875315534094,250
league,16.0,200,best 6,6,15.8975898288639,-0.10241017113609985,-0.640063569600624,0.7826643684773249,0.78778239557723,0.732046599920677,0.1447238625322198,0.03367617723724736,250
league,16.0,400,T20,1,15.107820142610308,-0.8921798573896922,-5.576124108685576,1.3542829117775679,1.6194847249184197,0.9592503699850748,0.09018789922795634,1.9627615792371147,250
league,16.0,400,bull,1,16.05659724697111,0.05659724697110846,0.3537327935694279,0.6783327953760374,0.6793365058071346,0.6423517883005355,0.026125922853904804,-0.02214325249072102,250
league,16.0,400,D20,1,16.04150881482732,0.041508814827320606,0.2594300926707538,0.7673727135880599,0.7669605072894129,0.8666876625975849,0.21198978221776432,-0.006737681594475742,250
league,16.0,400,best 1,1,16.03559317966389,0.035593179663891306,0.22245737289932066,0.5473220618263577,0.5473847532065484,0.54094839685167,0.1486440262786446,-0.10182141942447442,250
league,16.0,400,best 2,2,16.0242599515368,0.024259951536798496,0.1516246971049906,0.5055311855386507,0.5051020468009144,0.5195406711394005,-0.03862227962861775,-0.01650555421292621,250
league,16.0,400,best 3,3,15.9422769138615,-0.05772308613850008,-0.3607692883656255,0.53395115584313,0.5359994180521673,0.5180939598987762,-0.024100328036940066,0.10569821059389639,250
league,16.0,400,best 4,4,15.923970429479416,-0.07602957052058379,-0.4751848157536487,0.5018148663043434,0.5065485001432878,0.5177252170619957,0.039912139339377095,0.013782193205882365,250
league,16.0,400,best 6,6,15.954385346907193,-0.04561465309280699,-0.2850915818300437,0.5490010538975943,0.5497974582777951,0.5176346467884406,0.021384561169750516,0.01473768246084095,250
league,16.0,1000,T20,1,15.287516490984219,-0.7124835090157813,-4.4530219313486334,1.053448895070802,1.2700190183013924,0.606683203102411,0.10431257618008871,1.4190651255646567,250
league,16.0,1000,bull,1,16.015266461843098,0.015266461843097545,0.09541538651935966,0.4151454837660025,0.4145955311598881,0.4062589420223983,0.03238533799358878,-0.00045645346520650776,250
league,16.0,1000,D20,1,15.983083762245048,-0.01691623775495188,-0.10572648596844925,0.4845186889652188,0.4838444849499993,0.5481414067551785,0.20693681857959945,0.01332017743666114,250
league,16.0,1000,best 1,1,16.018116985768955,0.018116985768955374,0.11323116105597109,0.34543230469619773,0.3452164659928151,0.34212580613358695,0.09554704864919117,0.00025873981449375805,250
league,16.0,1000,best 2,2,15.98544667188946,-0.014553328110540775,-0.09095830069087985,0.31185305181077694,0.31156879814752536,0.32858637157860254,0.006481263297579698,-0.06522638521633795,250
league,16.0,1000,best 3,3,16.005464376057,0.005464376056998788,0.03415235035624242,0.32759897590118614,0.32698878277572796,0.32767123948405014,-0.033811819415437094,0.10239423318002006,250
league,16.0,1000,best 4,4,15.999010170280311,-0.0009898297196890837,-0.006186435748056773,0.3028211979112154,0.30221656962456567,0.32743817760419486,0.011219933472300436,0.04162064048680403,250
league,16.0,1000,best 6,6,15.972637755262351,-0.027362244737648922,-0.17101402961030576,0.34951105719953873,0.3498828941594649,0.3273834981444036,0.028696754711234895,0.02238861189495589,250
