sigma,visits A 256/2,aim A 256/2,visits B 512/4,aim B 512/4,visits C 512/2,aim C 512/2,A-B visits,B-C visits,|aim A-B| mm,|aim B-C| mm
8.0,-6.0133580263844175,T20,-5.975092738237134,T20,-5.973636868172578,T20,-0.038265288147283805,-0.0014558700645554978,0.0,0.0
10.0,-6.92636355491625,T20,-6.914645886392473,T20,-6.904226048343967,T20,-0.011717668523776759,-0.010419838048506769,0.0,1.76171875
12.0,-7.950804524508406,T20,-7.952225178177305,T20,-7.92700662589068,T20,0.0014206536688989857,-0.025218552286625062,0.0,2.491446549336976
14.0,-9.038423372810007,T20,-9.049256301399165,T20,-9.028452135402699,T20,0.010832928589158186,-0.020804165996466395,0.0,2.491446549336976
16.0,-10.184914527830104,T20,-10.20584831877978,T20,-10.183686691701007,T20,0.020933790949676734,-0.02216162707877345,0.0,1.76171875
18.0,-11.323035609633184,T19,-11.344475612572186,T19,-11.334911125705379,T19,0.021440002939002056,-0.009564486866807442,0.0,1.76171875
20.0,-12.459937429141224,19,-12.480746754050825,19,-12.464025579674454,19,0.0208093249096013,-0.01672117437637155,0.0,2.491446549336976
24.0,-14.705351007083323,19,-14.72010092099412,19,-14.710924812995563,19,0.01474991391079783,-0.009176107998557725,0.0,1.76171875
