design,k,n,band,sigma_true,sigma_hat,aim_error_mm
best 2,2,100,league,16.0,15.221865551457748,3.4436313425392484
best 2,2,100,league,16.0,16.896733614966557,2.692018514448356
best 2,2,100,league,16.0,16.098541634456613,0.6318736186802845
best 2,2,100,league,16.0,16.55397651612969,2.883537985831424
best 2,2,100,league,16.0,16.093617791473605,1.421374119338646
best 2,2,100,league,16.0,15.897175680484192,1.6659870588302628
best 2,2,100,league,16.0,17.65332183363518,5.0307474231146445
best 2,2,100,league,16.0,16.22574996267959,3.5647457612066953
best 2,2,100,league,16.0,15.639135324831356,2.8551304777367386
best 2,2,100,league,16.0,17.124159016288278,5.767046576120605
best 2,2,100,league,16.0,14.309493044936678,0.2432127354436529
best 2,2,100,league,16.0,17.118022413576647,1.9969674191142404
best 2,2,100,league,16.0,15.945411407100567,3.6944671186247966
best 2,2,100,league,16.0,14.955796260870803,5.642275037065486
best 2,2,100,league,16.0,15.670643517004724,3.243870599769145
best 2,2,100,league,16.0,16.8884554704338,2.111400451675411
best 2,2,100,league,16.0,18.384866478137955,8.51504243757525
best 2,2,100,league,16.0,15.033639026449153,0.9500865956455581
best 2,2,100,league,16.0,17.237566295811313,2.5158081770220697
best 2,2,100,league,16.0,14.175678779679945,6.592405336342657
best 2,2,100,league,16.0,15.821155670015598,4.145290829278176
best 2,2,100,league,16.0,16.31213476237304,3.056696382143704
best 2,2,100,league,16.0,17.515914650493528,2.7535026308465675
best 2,2,100,league,16.0,17.264621725120385,5.377938884364133
best 2,2,100,league,16.0,14.006492099823706,0.711182547328308
best 2,2,100,league,16.0,15.892402480767082,0.28879786334603974
best 2,2,100,league,16.0,15.073112786845739,5.318542684965217
best 2,2,100,league,16.0,17.396359324415435,2.538903089850845
best 2,2,100,league,16.0,13.62947109242103,1.5041627961034947
best 2,2,100,league,16.0,14.803789648951984,0.33915134830508126
best 2,2,100,league,16.0,16.722971557258326,4.242009793097303
best 2,2,100,league,16.0,15.329404392537807,0.8509699841547492
best 2,2,100,league,16.0,17.506709252474327,1.6109374734680575
best 2,2,100,league,16.0,16.72951693621065,3.9118497826306355
best 2,2,100,league,16.0,14.404058178062085,4.693256617318176
best 2,2,100,league,16.0,15.164373294900994,1.9501730049700665
best 2,2,100,league,16.0,16.61597665409299,3.797229589127621
best 2,2,100,league,16.0,17.18542338712388,3.388297644947867
best 2,2,100,league,16.0,15.493366243602397,1.0461922656534781
best 2,2,100,league,16.0,14.398603945486903,2.017101721750067
best 2,2,100,league,16.0,14.377616764221052,6.280506602792737
best 2,2,100,league,16.0,13.131758079569103,1.961127973939524
best 2,2,100,league,16.0,15.286943526975895,2.5540288336291748
best 2,2,100,league,16.0,16.99813339776108,1.164908269498856
best 2,2,100,league,16.0,16.065028906379208,1.9528432293214046
best 2,2,100,league,16.0,15.77360384645914,9.037344732572613
best 2,2,100,league,16.0,14.708251352076203,7.297197871650008
best 2,2,100,league,16.0,15.596099845399161,2.898531620963749
best 2,2,100,league,16.0,16.65189968086549,3.4316900666902237
best 2,2,100,league,16.0,15.147550315816694,2.4453292216381963
best 2,2,100,league,16.0,14.577447006192111,2.2335785995867306
best 2,2,100,league,16.0,14.851573156550645,2.012106703716527
best 2,2,100,league,16.0,16.005315761519263,4.878765490504337
