source,player,family,shared_scale,model,n_train,n_test,n_params,train_ll,test_ll,test_ll_per_visit,scale,axis_sd,bias_x,nu_visit,s_hit,s_miss,at_boundary,seconds,nfev,sim_p_t20,obs_p_t20,sim_t20_lift_12,obs_t20_lift_12,sim_mag_corr,obs_mag_corr,sim_far,obs_far,shape_beta,shape_nu,shape_eps,shape_kappa,shape_ratio
dartsviz_pdc_2017,Peter Wright,gaussian,False,gaussian,650,653,4,-3090.6944625464657,-3471.9163679814264,-5.316870395071097,11.39341105403754,11.39341105403754,1.611936494535644,0.0,0.0184734453574942,0.1386516193641301,True,11.55381989479065,226,0.20725,0.3879530372639101,2.735902449063593,4.067104739147753,0.0032943561010461,0.0193431634963973,0.0,0.001531393568147,,,,,
dartsviz_pdc_2017,Peter Wright,exp-power,False,exp-power,650,653,5,-2635.7503215781176,-2689.991008257421,-4.119434928418715,0.74260135067907,12.040387725404806,0.2772261841826027,0.0,0.0167822916553764,0.1374489827568961,False,58.40215730667114,858,0.4040833333333333,0.3879530372639101,4.235764962521838,4.067104739147753,-0.0060478073960043,0.0193431634963973,0.0023333333333333,0.001531393568147,0.5222130280269457,,,,
dartsviz_pdc_2017,Peter Wright,student-t,False,student-t,650,653,5,-2612.1761389317203,-2649.972514142694,-4.058150863924493,5.723675482303435,22.97658456529914,0.0577185282186536,0.0,0.0146057732306668,0.1337913842202331,False,23.262710094451904,304,0.3907083333333333,0.3879530372639101,5.456407658004897,4.067104739147753,-0.0078428166924316,0.0193431634963973,0.0050416666666666,0.001531393568147,,2.1323219324999925,,,
dartsviz_pdc_2017,Peter Wright,core+uniform,False,core+uniform,650,653,5,-2688.9259317693504,-3316.3535364565687,-5.0786424754311925,7.961255005283015,16.95801475644185,-0.8431853837811814,0.0,0.0149938779432366,0.1234624218757217,False,27.434438228607178,286,0.3259583333333333,0.3879530372639101,4.722134539842876,4.067104739147753,0.0049954994370728,0.0193431634963973,0.0145,0.001531393568147,,,0.0313047512603963,,
dartsviz_pdc_2017,Peter Wright,two-component,False,two-component,650,653,6,-2606.732743357369,-2675.2580667341617,-4.09687299653011,6.342594908065974,12.222709688038597,0.732711653959117,0.0,0.0184714327856482,0.1386963396249307,False,51.20961928367615,379,0.3739166666666667,0.3879530372639101,5.458968239576622,4.067104739147753,-0.0003048193615901,0.0193431634963973,0.003125,0.001531393568147,,,0.132725071022635,4.630945056900934,
dartsviz_pdc_2017,Peter Wright,gaussian,True,gaussian + visit scale,650,653,5,-2711.535851492442,-2772.7619537500022,-4.246189821975501,9.943643826123536,9.943643826123536,0.4493247872160654,0.5748332158502083,0.0184376609627376,0.1386583218740336,True,130.32786965370178,298,0.3482083333333333,0.3879530372639101,23.938727495908346,4.067104739147753,0.2094992667353433,0.0193431634963973,0.0011666666666666,0.001531393568147,,,,,
dartsviz_pdc_2017,Peter Wright,student-t,True,student-t + visit scale,650,653,6,-2610.782720929632,-2649.701490532301,-4.057735820110722,5.946372222216187,17.399723246744944,0.0841840699388682,0.2232567235881996,0.0146837341548326,0.1341368495192234,False,187.4713535308838,525,0.39475,0.3879530372639101,8.323501621594016,4.067104739147753,0.0178674524645153,0.0193431634963973,0.0047083333333333,0.001531393568147,,2.264476658573847,,,
dartsviz_pdc_2017,Michael van Gerwen,gaussian,False,gaussian,530,542,4,-2379.1117898794937,-2701.825699649676,-4.984918265036302,8.654661421228633,8.654661421228633,-1.725164447292062,0.0,0.0926113384813916,0.4248117750262639,True,26.4068570137024,415,0.2383333333333333,0.3616236162361623,10.888615132834484,36.86094069529653,-0.0029860124078133,-0.0179015955446043,0.0,0.002460024600246,,,,,
dartsviz_pdc_2017,Michael van Gerwen,exp-power,False,exp-power,530,542,5,-2109.420681129392,-2220.7061161016136,-4.097243756645043,1.1216140879965335,8.628370596244945,-1.3598529214053507,0.0,0.0938598938113375,0.4168048135025939,False,26.67094922065735,297,0.395375,0.3616236162361623,15.690776310524212,36.86094069529653,-0.0070597340325758,-0.0179015955446043,0.0010833333333333,0.002460024600246,0.6119461897151328,,,,
dartsviz_pdc_2017,Michael van Gerwen,student-t,False,student-t,530,542,5,-2096.233046727988,-2189.4589761317075,-4.039592206885069,4.815573949325096,9.765251214003332,-3.0285702442434506,0.0,0.0934114642333924,0.4152853666297617,False,22.01522183418274,337,0.391,0.3616236162361623,15.67338991341092,36.86094069529653,0.0001767382207164,-0.0179015955446043,0.00175,0.002460024600246,,2.6426390672575417,,,
dartsviz_pdc_2017,Michael van Gerwen,core+uniform,False,core+uniform,530,542,5,-2142.7707537123097,-2197.7529794970897,-4.054894796120092,6.694371387646013,11.7262398662131,-2.737692320267181,0.0,0.089733992713058,0.4066713815765561,False,28.6968367099762,275,0.3259166666666667,0.3616236162361623,14.295847354382058,36.86094069529653,0.0018559246513166,-0.0179015955446043,0.00575,0.002460024600246,,,0.0129091504003593,,
dartsviz_pdc_2017,Michael van Gerwen,two-component,False,two-component,530,542,6,-2094.2109755849424,-2196.271272952352,-4.052161020207291,5.251851125141902,8.662068224475597,-5.486935429247332,0.0,0.0939944323312035,0.416816454846554,False,55.60999512672424,440,0.390875,0.3616236162361623,15.762068571272112,36.86094069529653,0.0021625307229553,-0.0179015955446043,0.0015416666666666,0.002460024600246,,,0.0646755060407145,5.253484082980973,
dartsviz_pdc_2017,Michael van Gerwen,gaussian,True,gaussian + visit scale,530,542,5,-2145.5063094257325,-2262.0400628138104,-4.173505650947989,7.261243967988289,7.261243967988289,-2.6903869101992184,0.5086629138669684,0.0939745121604508,0.4168244988877799,True,120.86163568496704,279,0.3789166666666667,0.3616236162361623,26.7227334220548,36.86094069529653,0.1608756443243772,-0.0179015955446043,8.333333333333333e-05,0.002460024600246,,,,,
dartsviz_pdc_2017,Michael van Gerwen,student-t,True,student-t + visit scale,530,542,6,-2095.0497532667287,-2189.385415030422,-4.039456485295982,4.988087196696767,9.216183807124532,-2.8692892490237867,0.2134190621092824,0.0934833027881909,0.4156615738156562,False,217.7931656837464,372,0.4002083333333333,0.3616236162361623,19.23129264804439,36.86094069529653,0.0116818066692489,-0.0179015955446043,0.0010833333333333,0.002460024600246,,2.8285795633482365,,,
